Suppose best relative offset = 0,0 (best_n=0, input_spots=56, reference_spots=0)
Suppose best relative offset = 16,0 (best_n=45, input_spots=56, reference_spots=64009)
Suppose best relative offset = 16,0 (best_n=43, input_spots=56, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=45, input_spots=56, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=46, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=44, input_spots=56, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=45, input_spots=56, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=45, input_spots=56, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=45, input_spots=56, reference_spots=128018)
Suppose best relative offset = 6,0 (best_n=52, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=51, input_spots=56, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=48, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=48, input_spots=56, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=47, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=47, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=48, input_spots=56, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=46, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=44, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=44, input_spots=56, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=47, input_spots=56, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=46, input_spots=56, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=47, input_spots=56, reference_spots=128018)
